id,english_text,tamil_reference
1,The sun rises in the east and sets in the west.,சூரியன் கிழக்கில் உதித்து மேற்கில் மறைகிறது.
2,Education is the most powerful weapon you can use to change the world.,கல்வி என்பது உலகை மாற்ற நீங்கள் பயன்படுத்தக்கூடிய மிக சக்திவாய்ந்த ஆயுதம்.
3,Water is essential for all forms of life on Earth.,நீர் பூமியில் உள்ள அனைத்து உயிர்களுக்கும் இன்றியமையாதது.
4,The train arrived at the station on time.,தொடர்வண்டி நேரத்தில் நிலையத்தில் வந்து சேர்ந்தது.
5,She reads books every evening before going to sleep.,அவள் தினமும் இரவு தூங்குவதற்கு முன் புத்தகங்கள் படிக்கிறாள்.
6,The doctor advised the patient to take rest for a week.,மருத்துவர் நோயாளிக்கு ஒரு வாரம் ஓய்வெடுக்கும்படி அறிவுறுத்தினார்.
7,Children love to play in the park during summer.,குழந்தைகள் கோடையில் பூங்காவில் விளையாட விரும்புகிறார்கள்.
8,The government announced new policies for rural development.,அரசு கிராம வளர்ச்சிக்கான புதிய கொள்கைகளை அறிவித்தது.
9,Technology has transformed the way we communicate.,தொழில்நுட்பம் நாம் தொடர்பு கொள்ளும் விதத்தை மாற்றியுள்ளது.
10,The farmer worked hard in the fields throughout the day.,விவசாயி நாள் முழுவதும் வயல்களில் கடினமாக உழைத்தார்.
11,Music has the power to heal the mind and soul.,இசைக்கு மனதையும் ஆன்மாவையும் குணப்படுத்தும் சக்தி உள்ளது.
12,The river flows gently through the green valley.,ஆறு பச்சை பள்ளத்தாக்கின் வழியாக மெதுவாக பாய்கிறது.
13,He completed his project before the deadline.,அவர் கடைசி தேதிக்கு முன்பே தனது திட்டத்தை முடித்தார்.
14,The airport was crowded with passengers during the holiday season.,விடுமுறை காலத்தில் விமான நிலையம் பயணிகளால் நிரம்பியிருந்தது.
15,Science and technology are key drivers of economic growth.,அறிவியலும் தொழில்நுட்பமும் பொருளாதார வளர்ச்சியின் முக்கிய இயக்கிகள்.
16,The ancient temple was built over five hundred years ago.,இந்த பழமையான கோயில் ஐந்நூறு ஆண்டுகளுக்கு முன்பு கட்டப்பட்டது.
17,Fresh fruits and vegetables are important for good health.,புதிய பழங்களும் காய்கறிகளும் நல்ல ஆரோக்கியத்திற்கு முக்கியம்.
18,The students prepared well for their final examinations.,மாணவர்கள் தங்கள் இறுதி தேர்வுகளுக்கு நன்றாக தயாரானார்கள்.
19,Climate change is one of the greatest challenges of our time.,காலநிலை மாற்றம் நமது காலத்தின் மிகப்பெரிய சவால்களில் ஒன்று.
20,The library contains thousands of books on various subjects.,நூலகத்தில் பல்வேறு பாடங்களில் ஆயிரக்கணக்கான புத்தகங்கள் உள்ளன.
